,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
SNRNP70,4629.794510160683,0.1328708214143386,0.11031884086999717,1.2044254668240877,0.22842517377924476,0.9999058266833402,True
LIN7B,16.247288031464723,-0.6171267224918637,0.44991103003502503,-1.37166390973749,0.17016808838961683,0.9999058266833402,True
PPFIA3,64.91687677092105,0.14731424687951158,0.26680543587022626,0.5521411001204826,0.5808516847882981,0.9999058266833402,True
TRPM4,98.93839659472981,0.28801819098906084,0.23253354610990346,1.2386092063161218,0.2154902570223879,0.9999058266833402,True
SLC6A16,65.26356091943384,0.24578159131591,0.27352141732713453,0.8985826182011647,0.36887502052748145,0.9999058266833402,True
AC011450.1,37.39375839235596,0.1737160026353902,0.34405385514255826,0.5049093333466972,0.6136225184057589,0.9999058266833402,True
CD37,3132.0323188183197,0.10606835435843832,0.08356448083614645,1.2692995073638709,0.2043342620076889,0.9999058266833402,True
PIH1D1,1273.8771679330328,0.067684582331247,0.12780359963061858,0.5295984035416124,0.5963904014751711,0.9999058266833402,True
ALDH16A1,558.5180469298939,0.16138111989819642,0.1605804447474142,1.0049861311073192,0.3149035280808363,0.9999058266833402,True
FLT3LG,6.957715939321993,0.45841512529967215,0.8377065679421396,0.5472263711931824,0.5842232208337037,0.9999058266833402,True
RPL13A,61789.49727304393,0.007603607043798328,0.11088298410574166,0.06857325409412934,0.9453293088794897,0.9999058266833402,True
RPS11,32049.598172809612,0.06613937093919747,0.12556415469292403,0.5267376752620679,0.5983757687024536,0.9999058266833402,True
FCGRT,567.5248985642608,0.14456706018884227,0.15193738418064265,0.9514910432903227,0.3413551631264635,0.9999058266833402,True
RCN3,65.16621307877939,-0.11430510420429524,0.2743852130835876,-0.41658623990598864,0.6769810757803065,0.9999058266833402,True
NOSIP,542.6455404880851,0.12317018305936422,0.1307347181238629,0.9421382845119094,0.34612184587480277,0.9999058266833402,True
PRR12,462.10403818209033,0.09239202834181712,0.18494250948774194,0.4995716160536953,0.6173767480173737,0.9999058266833402,True
RRAS,65.38048079425143,-0.1842885884120092,0.23789786317772144,-0.7746542400607295,0.4385439974527109,0.9999058266833402,True
SCAF1,567.7638941958368,0.12897992555077994,0.15365060366894828,0.839436503801032,0.40122440663387715,0.9999058266833402,True
IRF3,1427.5907526508859,0.1379966521980585,0.1268971027646459,1.0874688955980245,0.27682963768399627,0.9999058266833402,True
BCL2L12,457.4827887715538,0.05927034266549159,0.15189972598035206,0.39019387482738505,0.6963931905668004,0.9999058266833402,True
PRMT1,2920.9607161583153,0.04188846818647366,0.13381514703168462,0.31303233688900217,0.7542560945685757,0.9999058266833402,True
